Country,Total
United States of America,347
United Kingdom,95
Japan,124
France,79
Canada,42
Switzerland,12
South Korea,60
Sweden,19
Denmark,7
Germany,70
China,277
Australia,39
Israel,9
Netherlands,15
Norway,13
Singapore,4
Taiwan,35
Brazil,56
Italy,66
Belgium,11
Finland,10
Spain,53
Russia,46
Portugal,14
Austria,17
Ireland,9
Czech Republic,12
New Zealand,8
Greece,12
South Africa,13
Saudi Arabia,9
Mexico,18
Serbia,4
Argentina,10
Iran,39
Slovenia,3
Poland,40
Chile,14
Malaysia,8
India,68
Thailand,10
Estonia,3
Croatia,4
Egypt,17
Turkey,55
Iceland,2
Hungary,8
Slovak Republic,3
Lithuania,4
Lebanon,2
Pakistan,10
Cyprus,2
Colombia,7
Armenia,1
Belarus,1
Georgia,3
Bulgaria,2
Luxembourg,1
Romania,10
Uganda,1
Uruguay,1
United Arab Emirates,3
Morocco,4
Tunisia,5
Qatar,2
Ukraine,6
Ethiopia,4
Nigeria,2
Philippines,3
Vietnam,5
Azerbaijan,1
Cameroon,1
Kuwait,1
Ghana,2
Malawi,1
Jordan,2
Costa Rica,1
Oman,1
Kenya,1
Peru,2
Latvia,2
Zambia,1
Sri Lanka,2
Indonesia,2
Malta,1
Ecuador,1
Zimbabwe,1
Venezuela,1
Bangladesh,1
Algeria,2
Northern Cyprus,1
Tanzania,1
Senegal,1
Kazakhstan,1
North Macedonia,1
